q_A^-1,E_v_eV,E_c1_eV,E_c2_eV,E_c3_eV
-1.457999999999999852e-01,-3.221357752756381920e-01,3.472567787516304960e-02,5.129206548472148297e-02,5.129206548472146215e-02
-1.454999999999999905e-01,-3.206881477214347242e-01,3.466514072289635789e-02,5.116342403615475876e-02,5.116342403615473794e-02
-1.451999999999999957e-01,-3.192435018923686085e-01,3.460472826095359333e-02,5.103504755452639707e-02,5.103504755452638320e-02
-1.449000000000000010e-01,-3.178018377884399559e-01,3.454444048933475592e-02,5.090693603983637017e-02,5.090693603983635629e-02
-1.446000000000000063e-01,-3.163631554096487664e-01,3.448427740803985259e-02,5.077908949208468498e-02,5.077908949208467804e-02
-1.442999999999999838e-01,-3.149274547559947068e-01,3.442423901706886252e-02,5.065150791127134150e-02,5.065150791127132762e-02
-1.439999999999999891e-01,-3.134947358274782214e-01,3.436432531642181348e-02,5.052419129739636056e-02,5.052419129739634668e-02
-1.436999999999999944e-01,-3.120649986240990881e-01,3.430453630609868465e-02,5.039713965045971439e-02,5.039713965045970051e-02
-1.433999999999999997e-01,-3.106382431458574178e-01,3.424487198609948990e-02,5.027035297046141687e-02,5.027035297046140300e-02
-1.431000000000000050e-01,-3.092144693927529886e-01,3.418533235642421536e-02,5.014383125740145414e-02,5.014383125740144720e-02
-1.427999999999999825e-01,-3.077936773647860225e-01,3.412591741707286103e-02,5.001757451127984005e-02,5.001757451127983312e-02
-1.424999999999999878e-01,-3.063758670619564084e-01,3.406662716804544772e-02,4.989158273209657463e-02,4.989158273209657463e-02
-1.421999999999999931e-01,-3.049610384842642574e-01,3.400746160934196155e-02,4.976585591985167173e-02,4.976585591985165785e-02
-1.418999999999999984e-01,-3.035491916317095695e-01,3.394842074096239559e-02,4.964039407454508973e-02,4.964039407454508279e-02
-1.416000000000000036e-01,-3.021403265042921227e-01,3.388950456290676372e-02,4.951519719617687026e-02,4.951519719617685639e-02
-1.412999999999999812e-01,-3.007344431020120279e-01,3.383071307517504511e-02,4.939026528474697864e-02,4.939026528474696476e-02
-1.409999999999999865e-01,-2.993315414248695072e-01,3.377204627776726753e-02,4.926559834025544260e-02,4.926559834025543566e-02
-1.406999999999999917e-01,-2.979316214728642276e-01,3.371350417068341015e-02,4.914119636270225522e-02,4.914119636270224828e-02
-1.403999999999999970e-01,-2.965346832459965221e-01,3.365508675392348686e-02,4.901705935208740955e-02,4.901705935208739567e-02
-1.401000000000000023e-01,-2.951407267442660576e-01,3.359679402748749072e-02,4.889318730841091948e-02,4.889318730841090560e-02
-1.397999999999999798e-01,-2.937497519676729452e-01,3.353862599137540784e-02,4.876958023167275030e-02,4.876958023167274336e-02
-1.395000000000000129e-01,-2.923617589162175179e-01,3.348058264558727293e-02,4.864623812187295754e-02,4.864623812187294366e-02
-1.391999999999999904e-01,-2.909767475898991096e-01,3.342266399012305128e-02,4.852316097901148567e-02,4.852316097901147179e-02
-1.388999999999999957e-01,-2.895947179887181644e-01,3.336487002498275678e-02,4.840034880308836246e-02,4.840034880308834858e-02
-1.386000000000000010e-01,-2.882156701126747933e-01,3.330720075016639636e-02,4.827780159410359484e-02,4.827780159410358790e-02
-1.383000000000000063e-01,-2.868396039617686633e-01,3.324965616567396309e-02,4.815551935205716894e-02,4.815551935205716200e-02
-1.380000000000000115e-01,-2.854665195359999963e-01,3.319223627150545003e-02,4.803350207694909169e-02,4.803350207694908475e-02
-1.376999999999999891e-01,-2.840964168353685704e-01,3.313494106766087105e-02,4.791174976877934227e-02,4.791174976877933533e-02
-1.373999999999999944e-01,-2.827292958598747186e-01,3.307777055414021228e-02,4.779026242754795539e-02,4.779026242754794152e-02
-1.370999999999999996e-01,-2.813651566095182188e-01,3.302072473094348759e-02,4.766904005325491717e-02,4.766904005325489635e-02
-1.368000000000000049e-01,-2.800039990842990711e-01,3.296380359807068311e-02,4.754808264590021372e-02,4.754808264590020678e-02
-1.365000000000000102e-01,-2.786458232842173866e-01,3.290700715552181965e-02,4.742739020548385892e-02,4.742739020548385892e-02
-1.361999999999999877e-01,-2.772906292092729430e-01,3.285033540329686946e-02,4.730696273200583890e-02,4.730696273200583196e-02
-1.358999999999999930e-01,-2.759384168594660736e-01,3.279378834139585336e-02,4.718680022546618141e-02,4.718680022546616754e-02
-1.355999999999999983e-01,-2.745891862347964452e-01,3.273736596981875746e-02,4.706690268586486564e-02,4.706690268586485176e-02
-1.353000000000000036e-01,-2.732429373352643909e-01,3.268106828856559565e-02,4.694727011320189852e-02,4.694727011320189158e-02
-1.350000000000000089e-01,-2.718996701608695776e-01,3.262489529763636098e-02,4.682790250747728006e-02,4.682790250747725230e-02
-1.346999999999999864e-01,-2.705593847116121164e-01,3.256884699703104652e-02,4.670879986869098249e-02,4.670879986869096862e-02
-1.343999999999999917e-01,-2.692220809874921184e-01,3.251292338674966614e-02,4.658996219684304746e-02,4.658996219684303358e-02
-1.340999999999999970e-01,-2.678877589885095833e-01,3.245712446679221291e-02,4.647138949193345414e-02,4.647138949193344720e-02
