path_A^-1,kx_A^-1,ky_A^-1,E_v_eV,E_c1_eV,E_v_local,E_c1_local
3.617437868540305246e-01,8.215302822946675132e-01,0.000000000000000000e+00,-1.115001161123399775e+01,3.801915037163299260e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.651245699087410923e-01,8.181494992399569455e-01,0.000000000000000000e+00,-1.105818438924127278e+01,3.790681908624778940e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.685053529634517155e-01,8.147687161852463777e-01,0.000000000000000000e+00,-1.096673583620521875e+01,3.779666514736345073e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.718861360181622278e-01,8.113879331305358100e-01,0.000000000000000000e+00,-1.087566595212583387e+01,3.768868855497996551e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.752669190728727955e-01,8.080071500758252423e-01,0.000000000000000000e+00,-1.078497473700312170e+01,3.758288930909734482e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.786477021275833632e-01,8.046263670211146746e-01,0.000000000000000000e+00,-1.069466219083707692e+01,3.747926740971557757e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.820284851822939309e-01,8.012455839664041068e-01,0.000000000000000000e+00,-1.060472831362770840e+01,3.737782285683468597e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.854092682370045542e-01,7.978648009116935391e-01,0.000000000000000000e+00,-1.051517310537500549e+01,3.727855565045462560e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.887900512917150664e-01,7.944840178569829714e-01,0.000000000000000000e+00,-1.042599656607897884e+01,3.718146579057544088e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.921708343464256341e-01,7.911032348022724037e-01,0.000000000000000000e+00,-1.033719869573961958e+01,3.708655327719710959e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.955516174011362018e-01,7.877224517475618359e-01,0.000000000000000000e+00,-1.024877949435693303e+01,3.699381811031964284e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.989324004558467696e-01,7.843416686928512682e-01,0.000000000000000000e+00,-1.016073896193091919e+01,3.690326028994302954e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.023131835105573373e-01,7.809608856381407005e-01,0.000000000000000000e+00,-1.007307709846157273e+01,3.681487981606728077e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.056939665652679050e-01,7.775801025834301328e-01,0.000000000000000000e+00,-9.985793903948898986e+00,3.672867668869238544e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.090747496199784172e-01,7.741993195287195650e-01,0.000000000000000000e+00,-9.898889378392894400e+00,3.664465090781834355e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.124555326746890405e-01,7.708185364740089973e-01,0.000000000000000000e+00,-9.812363521793564303e+00,3.656280247344515510e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.158363157293996082e-01,7.674377534192984296e-01,0.000000000000000000e+00,-9.726216334150903364e+00,3.648313138557284230e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.192170987841101204e-01,7.640569703645878619e-01,0.000000000000000000e+00,-9.640447815464913361e+00,3.640563764420137183e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.225978818388207436e-01,7.606761873098772941e-01,0.000000000000000000e+00,-9.555057965735594294e+00,3.633032124933076590e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.259786648935312559e-01,7.572954042551667264e-01,0.000000000000000000e+00,-9.470046784962946163e+00,3.625718220096102451e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.293594479482418791e-01,7.539146212004561587e-01,0.000000000000000000e+00,-9.385414273146970743e+00,3.618622049909213656e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.327402310029524468e-01,7.505338381457455910e-01,0.000000000000000000e+00,-9.301160430287664482e+00,3.611743614372411315e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.361210140576629590e-01,7.471530550910350232e-01,0.000000000000000000e+00,-9.217285256385030934e+00,3.605082913485694318e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.395017971123735823e-01,7.437722720363244555e-01,0.000000000000000000e+00,-9.133788751439068321e+00,3.598639947249062665e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.428825801670840945e-01,7.403914889816138878e-01,0.000000000000000000e+00,-9.050670915449774867e+00,3.592414715662517466e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.462633632217947177e-01,7.370107059269033201e-01,0.000000000000000000e+00,-8.967931748417152349e+00,3.586407218726058721e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.496441462765052854e-01,7.336299228721927523e-01,0.000000000000000000e+00,-8.885571250341202543e+00,3.580617456439684210e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.530249293312157977e-01,7.302491398174821846e-01,0.000000000000000000e+00,-8.803589421221923672e+00,3.575045428803397263e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.564057123859264209e-01,7.268683567627716169e-01,0.000000000000000000e+00,-8.721986261059315737e+00,3.569691135817194549e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.597864954406369331e-01,7.234875737080610492e-01,0.000000000000000000e+00,-8.640761769853378738e+00,3.564554577481078290e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.631672784953475008e-01,7.201067906533504814e-01,0.000000000000000000e+00,-8.559915947604110897e+00,3.559635753795048485e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.665480615500580686e-01,7.167260075986399137e-01,0.000000000000000000e+00,-8.479448794311515769e+00,3.554934664759104024e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.699288446047686363e-01,7.133452245439293460e-01,0.000000000000000000e+00,-8.399360309975593353e+00,3.550451310373246017e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.733096276594792595e-01,7.099644414892187783e-01,0.000000000000000000e+00,-8.319650494596338319e+00,3.546185690637472243e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.766904107141897717e-01,7.065836584345082105e-01,0.000000000000000000e+00,-8.240319348173757774e+00,3.542137805551786034e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.800711937689003395e-01,7.032028753797976428e-01,0.000000000000000000e+00,-8.161366870707846388e+00,3.538307655116185169e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.834519768236109072e-01,6.998220923250870751e-01,0.000000000000000000e+00,-8.082793062198605938e+00,3.534695239330669647e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.868327598783214749e-01,6.964413092703765074e-01,0.000000000000000000e+00,-8.004597922646038199e+00,3.531300558195240580e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.902135429330320981e-01,6.930605262156659396e-01,0.000000000000000000e+00,-7.926781452050140508e+00,3.528123611709896856e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.935943259877426104e-01,6.896797431609553719e-01,0.000000000000000000e+00,-7.849343650410914641e+00,3.525164399874638477e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.969751090424531781e-01,6.862989601062448042e-01,0.000000000000000000e+00,-7.772284517728358821e+00,3.522422922689467661e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.003558920971638013e-01,6.829181770515342365e-01,0.000000000000000000e+00,-7.695604054002473937e+00,3.519899180154382190e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.037366751518742580e-01,6.795373939968237798e-01,0.000000000000000000e+00,-7.619302259233262653e+00,3.517593172269382062e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.071174582065848258e-01,6.761566109421132120e-01,0.000000000000000000e+00,-7.543379133420719640e+00,3.515504899034467279e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.104982412612955045e-01,6.727758278874025333e-01,0.000000000000000000e+00,-7.467834676564845786e+00,3.513634360449638949e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.138790243160059612e-01,6.693950448326920766e-01,0.000000000000000000e+00,-7.392668888665647309e+00,3.511981556514895964e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.172598073707166400e-01,6.660142617779813978e-01,0.000000000000000000e+00,-7.317881769723114438e+00,3.510546487230239432e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.206405904254270967e-01,6.626334787232709411e-01,0.000000000000000000e+00,-7.243473319737258720e+00,3.509329152595668244e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.240213734801376644e-01,6.592526956685603734e-01,0.000000000000000000e+00,-7.169443538708072161e+00,3.508329552611183511e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.274021565348482321e-01,6.558719126138498057e-01,0.000000000000000000e+00,-7.095792426635554762e+00,3.507547687276785231e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.307829395895587998e-01,6.524911295591392379e-01,0.000000000000000000e+00,-7.022519983519709186e+00,3.506983556592471185e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.341637226442693676e-01,6.491103465044286702e-01,0.000000000000000000e+00,-6.949626209360535434e+00,3.506637160558243593e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.375445056989799353e-01,6.457295634497181025e-01,0.000000000000000000e+00,-6.877111104158031729e+00,3.506508499174102456e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.409252887536905030e-01,6.423487803950075348e-01,0.000000000000000000e+00,-6.804974667912199848e+00,3.506597572440046662e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.443060718084010707e-01,6.389679973402969670e-01,0.000000000000000000e+00,-6.733216900623038015e+00,3.506904380356076212e-01,0.000000000000000000e+00,0.000000000000000000e+00
