u,kx_A^-1,ky_A^-1,E_v_eV,E_c1_periodic_chart_eV
-1.133750000000000036e+00,1.006152731923002364e+00,5.809025506216227708e-01,-2.232947796135803031e+01,3.301307064269989183e-02
-1.132500000000000062e+00,1.005043412483175302e+00,5.802620847444214247e-01,-2.228020088991693370e+01,3.277097228940305945e-02
-1.131250000000000089e+00,1.003934093043348463e+00,5.796216188672200786e-01,-2.223097817817959054e+01,3.253114716008088936e-02
-1.130000000000000115e+00,1.002824773603521624e+00,5.789811529900187326e-01,-2.218180982614598307e+01,3.229359525473333298e-02
-1.128750000000000142e+00,1.001715454163694785e+00,5.783406871128174975e-01,-2.213269583381611483e+01,3.205831657336041113e-02
-1.127499999999999947e+00,1.000606134723867724e+00,5.777002212356160404e-01,-2.208363620118997872e+01,3.182531111596204748e-02
-1.126249999999999973e+00,9.994968152840407738e-01,5.770597553584146944e-01,-2.203463092826759606e+01,3.159457888253833224e-02
-1.125000000000000000e+00,9.983874958442139347e-01,5.764192894812133483e-01,-2.198568001504895264e+01,3.136611987308924460e-02
-1.123750000000000027e+00,9.972781764043869845e-01,5.757788236040120022e-01,-2.193678346153404135e+01,3.113993408761476372e-02
-1.122500000000000053e+00,9.961688569645601454e-01,5.751383577268106562e-01,-2.188794126772288351e+01,3.091602152611491044e-02
-1.121250000000000080e+00,9.950595375247333063e-01,5.744978918496093101e-01,-2.183915343361546135e+01,3.069438218858968476e-02
-1.120000000000000107e+00,9.939502180849063562e-01,5.738574259724079640e-01,-2.179041995921177488e+01,3.047501607503905890e-02
-1.118750000000000133e+00,9.928408986450795171e-01,5.732169600952066180e-01,-2.174174084451183475e+01,3.025792318546306064e-02
-1.117500000000000160e+00,9.917315792052526779e-01,5.725764942180053829e-01,-2.169311608951564097e+01,3.004310351986168998e-02
-1.116249999999999964e+00,9.906222597654255058e-01,5.719360283408039258e-01,-2.164454569422317221e+01,2.983055707823487751e-02
-1.114999999999999991e+00,9.895129403255986666e-01,5.712955624636025798e-01,-2.159602965863445334e+01,2.962028386058273427e-02
-1.113750000000000018e+00,9.884036208857718275e-01,5.706550965864012337e-01,-2.154756798274947727e+01,2.941228386690521168e-02
-1.112500000000000044e+00,9.872943014459448774e-01,5.700146307091998876e-01,-2.149916066656823688e+01,2.920655709720228893e-02
-1.111250000000000071e+00,9.861849820061180383e-01,5.693741648319985416e-01,-2.145080771009074283e+01,2.900310355147400071e-02
-1.110000000000000098e+00,9.850756625662910881e-01,5.687336989547971955e-01,-2.140250911331698447e+01,2.880192322972031232e-02
-1.108750000000000124e+00,9.839663431264642490e-01,5.680932330775958494e-01,-2.135426487624697600e+01,2.860301613194125847e-02
-1.107499999999999929e+00,9.828570236866371879e-01,5.674527672003943923e-01,-2.130607499888069611e+01,2.840638225813679058e-02
-1.106249999999999956e+00,9.817477042468103487e-01,5.668123013231930463e-01,-2.125793948121816257e+01,2.821202160830697109e-02
-1.104999999999999982e+00,9.806383848069833986e-01,5.661718354459917002e-01,-2.120985832325937182e+01,2.801993418245175838e-02
-1.103750000000000009e+00,9.795290653671565595e-01,5.655313695687904652e-01,-2.116183152500432385e+01,2.783011998057118019e-02
-1.102500000000000036e+00,9.784197459273296094e-01,5.648909036915891191e-01,-2.111385908645301157e+01,2.764257900266520185e-02
-1.101250000000000062e+00,9.773104264875027702e-01,5.642504378143877730e-01,-2.106594100760544563e+01,2.745731124873385803e-02
-1.100000000000000089e+00,9.762011070476759311e-01,5.636099719371864269e-01,-2.101807728846161538e+01,2.727431671877712793e-02
-1.098750000000000115e+00,9.750917876078489810e-01,5.629695060599850809e-01,-2.097026792902152792e+01,2.709359541279500461e-02
-1.097500000000000142e+00,9.739824681680221419e-01,5.623290401827837348e-01,-2.092251292928518325e+01,2.691514733078751581e-02
-1.096249999999999947e+00,9.728731487281950807e-01,5.616885743055822777e-01,-2.087481228925257071e+01,2.673897247275460604e-02
-1.094999999999999973e+00,9.717638292883681306e-01,5.610481084283809317e-01,-2.082716600892370451e+01,2.656507083869633079e-02
-1.093750000000000000e+00,9.706545098485412915e-01,5.604076425511795856e-01,-2.077957408829858466e+01,2.639344242861269701e-02
-1.092500000000000027e+00,9.695451904087144523e-01,5.597671766739783505e-01,-2.073203652737720404e+01,2.622408724250367695e-02
-1.091250000000000053e+00,9.684358709688875022e-01,5.591267107967770045e-01,-2.068455332615955555e+01,2.605700528036925673e-02
-1.090000000000000080e+00,9.673265515290606631e-01,5.584862449195756584e-01,-2.063712448464566052e+01,2.589219654220947103e-02
-1.088750000000000107e+00,9.662172320892338240e-01,5.578457790423743123e-01,-2.058975000283549761e+01,2.572966102802430599e-02
-1.087500000000000133e+00,9.651079126494068738e-01,5.572053131651729663e-01,-2.054242988072907750e+01,2.556939873781374079e-02
-1.086250000000000160e+00,9.639985932095800347e-01,5.565648472879716202e-01,-2.049516411832640017e+01,2.541140967157781011e-02
-1.084999999999999964e+00,9.628892737697529736e-01,5.559243814107701631e-01,-2.044795271562745853e+01,2.525569382931645845e-02
-1.083749999999999991e+00,9.617799543299260234e-01,5.552839155335688170e-01,-2.040079567263225968e+01,2.510225121102975521e-02
-1.082500000000000018e+00,9.606706348900991843e-01,5.546434496563674710e-01,-2.035369298934080362e+01,2.495108181671767261e-02
-1.081250000000000044e+00,9.595613154502723452e-01,5.540029837791661249e-01,-2.030664466575309035e+01,2.480218564638021067e-02
-1.080000000000000071e+00,9.584519960104453951e-01,5.533625179019648899e-01,-2.025965070186911277e+01,2.465556270001736244e-02
-1.078750000000000098e+00,9.573426765706185559e-01,5.527220520247635438e-01,-2.021271109768888152e+01,2.451121297762913487e-02
-1.077500000000000124e+00,9.562333571307916058e-01,5.520815861475621977e-01,-2.016582585321238597e+01,2.436913647921551407e-02
-1.076249999999999929e+00,9.551240376909645446e-01,5.514411202703607406e-01,-2.011899496843962609e+01,2.422933320477649310e-02
-1.074999999999999956e+00,9.540147182511377055e-01,5.508006543931593946e-01,-2.007221844337061967e+01,2.409180315431212055e-02
-1.073749999999999982e+00,9.529053988113108664e-01,5.501601885159580485e-01,-2.002549627800534893e+01,2.395654632782236171e-02
-1.072500000000000009e+00,9.517960793714839163e-01,5.495197226387567024e-01,-1.997882847234382098e+01,2.382356272530721658e-02
